2019-06-29 17:55:49,952,2019-06-29_15_55_49,INFO,<class 'problems.network.Network'>,296004624,algorithms.genetic_algorithm,24,tournament_selection,one_point_crossover,0.4,bit_flip,0.6
2019-06-29 18:05:13,008,2019-06-29_15_55_49,INFO,17,1194.0399694193723,546971084.7471793,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:05:31,983,2019-06-29_15_55_49,INFO,18,1194.0399694193723,164409446.43174344,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:05:52,590,2019-06-29_15_55_49,INFO,19,1194.0399694193723,164409385.96960574,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:06:36,150,2019-06-29_15_55_49,INFO,20,1194.0399694193723,610522125.5912032,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:06:52,923,2019-06-29_15_55_49,INFO,21,1194.0399694193723,371196156.7404826,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:07:28,170,2019-06-29_15_55_49,INFO,22,1194.0399694193723,443004485.32004905,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:08:12,433,2019-06-29_15_55_49,INFO,23,1194.0399694193723,546971086.8372269,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:08:45,563,2019-06-29_15_55_49,INFO,24,1194.0399694193723,583209545.6978142,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:09:25,854,2019-06-29_15_55_49,INFO,25,1194.0399694193723,629599784.6045067,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:09:40,395,2019-06-29_15_55_49,INFO,26,1194.0399694193723,500763819.1703004,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:09:58,304,2019-06-29_15_55_49,INFO,27,1194.0399694193723,546971176.818044,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:10:13,063,2019-06-29_15_55_49,INFO,28,1194.0399694193723,500763813.65035903,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:10:22,991,2019-06-29_15_55_49,INFO,29,1194.0399694193723,371196104.59318197,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
